state,year,y_tourist_density,x1_transit_density,x2_digital_index,x3_state_score,x4_accommodation_density,x5_gdp_per_capita,y_tourist_density_log,x1_transit_density_log,x4_accommodation_density_log,x5_gdp_per_capita_log
Johor,2018,702.094634,0.001301,0.432500,82.920000,1.575065,34828.491230,6.555491,0.001301,0.945875,10.458220
Kedah,2018,1536.015529,0.001485,0.537200,68.920000,2.063435,20713.744800,7.337598,0.001484,1.119537,9.938601
Kelantan,2018,652.104340,0.000530,0.770500,73.080000,0.358103,12976.453100,6.481737,0.000530,0.306089,9.470969
Melaka,2018,7629.421025,0.002907,0.351500,80.170000,11.378488,45940.666740,8.939898,0.002903,2.515960,10.735128
Negeri Sembilan,2018,1914.765017,0.001047,0.552700,19.580000,1.698923,40692.884500,7.557872,0.001046,0.992853,10.613833
Pahang,2018,503.582833,0.000473,0.634000,28.170000,0.803031,33813.864360,6.223732,0.000473,0.589469,10.428656
Pulau Pinang,2018,14015.995335,0.009699,0.239100,83.170000,19.951503,51755.295550,9.548026,0.009653,3.042210,10.854301
Perak,2018,834.474029,0.001188,0.650200,83.830000,0.984787,29171.483920,6.727999,0.001188,0.685512,10.280981
Perlis,2018,2625.466387,0.004872,0.322600,45.420000,1.660171,23216.426040,7.873395,0.004860,0.978390,10.052658
Selangor,2018,3723.969300,0.001728,0.246800,68.250000,3.995681,49917.442320,8.222814,0.001726,1.608574,10.818146
Terengganu,2018,1060.777025,0.000695,0.761900,65.670000,0.775531,28362.947160,6.967699,0.000694,0.574099,10.252874
Sabah,2018,267.488420,0.000118,0.663800,68.670000,0.366130,21806.899240,5.592808,0.000118,0.311982,9.990028
Sarawak,2018,155.727041,0.000096,0.720100,67.500000,0.226629,47644.740840,5.054506,0.000096,0.204270,10.771549
W.P. Kuala Lumpur,2018,78870.358730,0.057613,0.499300,55.830000,235.744856,116765.034970,11.275573,0.056015,5.466983,11.667928
W.P. Labuan,2018,5946.442842,0.021825,1.000000,60.500000,25.032737,73181.222220,8.690717,0.021590,3.259355,11.200708
W.P. Putrajaya,2018,38610.346803,0.020408,0.415500,71.420000,27.204082,116765.034970,10.561301,0.020203,3.339467,11.667928
Johor,2019,743.050495,0.001301,0.405300,81.420000,1.856092,35686.998300,6.612109,0.001301,1.049454,10.482570
Kedah,2019,1573.247056,0.001485,0.529800,74.830000,2.131759,21549.063350,7.361532,0.001484,1.141595,9.978134
Kelantan,2019,727.597854,0.000530,0.780800,79.580000,0.399563,13525.415650,6.591122,0.000530,0.336160,9.512400
Melaka,2019,8127.325581,0.002907,0.337400,87.920000,12.649419,46944.632700,9.003110,0.002903,2.613697,10.756745
Negeri Sembilan,2019,1989.679928,0.001047,0.583700,19.170000,1.993270,42650.998050,7.596232,0.001046,1.096366,10.660829
Pahang,2019,514.333380,0.000473,0.652000,29.170000,0.888975,34961.333010,6.244814,0.000473,0.636035,10.462027
Pulau Pinang,2019,14947.623666,0.009699,0.236000,87.580000,23.051406,53508.227050,9.612375,0.009653,3.180193,10.887609
Perak,2019,1001.663894,0.001236,0.645400,83.170000,0.959258,30290.460780,6.910416,0.001235,0.672566,10.318621
Perlis,2019,2543.239951,0.004872,0.323300,54.330000,1.757613,24217.850390,7.841587,0.004860,1.014365,10.094887
Selangor,2019,4144.743337,0.001851,0.246300,69.830000,4.414610,53028.459600,8.329837,0.001849,1.689101,10.878603
Terengganu,2019,1092.859900,0.000618,0.790800,69.170000,0.846804,28927.697870,6.997468,0.000617,0.613456,10.272589
Sabah,2019,289.496157,0.000118,0.632000,63.670000,0.396255,21934.660900,5.671590,0.000118,0.333793,9.995869
Sarawak,2019,159.043793,0.000096,0.703700,69.080000,0.236351,48738.126870,5.075447,0.000096,0.212165,10.794237
W.P. Kuala Lumpur,2019,93139.917695,0.057613,0.503500,58.670000,255.008230,123949.577460,11.441869,0.056015,5.545210,11.727638
W.P. Labuan,2019,5718.027062,0.021825,0.285200,70.830000,25.960279,76770.070490,8.651554,0.021590,3.294365,11.248583
W.P. Putrajaya,2019,39775.510204,0.020408,0.394700,80.420000,31.653061,123949.577460,10.591032,0.020203,3.485939,11.727638
Johor,2020,377.043207,0.001301,0.392300,69.170000,1.782034,31940.934230,5.935008,0.001301,1.023182,10.371675
Kedah,2020,1072.239313,0.001485,0.499800,71.420000,2.121045,21601.978980,6.978437,0.001484,1.138168,9.980586
Kelantan,2020,401.218624,0.000530,0.767400,73.420000,0.401020,14051.719940,5.996996,0.000530,0.337200,9.550571
Melaka,2020,4229.651163,0.002907,0.358800,70.580000,11.971512,41096.202920,8.350111,0.002903,2.562756,10.623695
